"SESSION_NUM","SESSION_TYPE","LOCATION_NAME","SESSION_TITLE"
"450","NPC ENCOUNTER","East Island: Autumnal Forest - Edrik's Cottage","Edrik's Enigma: Spectral Servant Brews Ancient Truths"
"460","EXPLORATION","East Island: Autumnal Forest - Westward Path","Pool of Problems: Unexpected Ambush"
"470","BATTLE","East Island: Autumnal Forest - Westward Path","Hippo Stampede: Tought and Terrible Trolls"
"480","EXPLORATION","East Island: Autumnal Forest - Westward Path","Streamside Respite: Troll Hand Trophy Secured"
"490","EXPLORATION","East Island: Frozen River","Frozen Crossing: Cracking Ice Tests Courage"
"500","BATTLE","East Island: Frozen River","Frozen Ambush: Winter Wolves Strike"
"510","EXPLORATION","East Island: Frozen River","Blizzard's Refuge: Crystalline Cavern Shields from Storm"
"520","EXPLORATION","East Island: Snowy Hill","Yeti Feast: Massive Predator Claims Fresh Quarry"
"530","BATTLE","East Island: Snowy Hill","Abominable Assault: Colossal Yeti Rampage"
"540","EXPLORATION","East Island: Snowy Hill","Icebound Aftermath: Survivors Gather Around Crackling Warmth"
"550","EXPLORATION","East Island: Cold Jungle Canopy","Glacial Labyrinth: Crevasses Threaten Every Step"
"560","NPC ENCOUNTER","East Island: Cold Jungle Canopy","Eris's Lament: Ghostly Guide Charts Perilous Course"
"570","EXPLORATION","East Island: Cold Jungle Canopy","Frozen Mirrors: Reflective Waters Reveal Inner Turmoil"
"580","NPC ENCOUNTER","East Island: Cold Jungle Canopy","Takao's Warning: Bone-Cracking Terror Lurks Below"
"590","EXPLORATION","East Island: Cold Jungle Canopy","Portti Ikuiseen Liekkihin: Gateway to Eternal Flame"
"600","NPC ENCOUNTER","East Island: Cold Jungle Canopy","The Silent Archway: Threads of Sorrow"
"610","EXPLORATION","East Island: Cold Jungle Canopy","Brass Enigma: Frozen Fingers Fumble Intricate Mechanism"
"620","EXPLORATION","Mountains: Glacial Ridge","Icebound Ascent: Treacherous Winds Test Resolve"
"630","EXPLORATION","Mountains: Isanya's Spine","Summit Vigil: Stitched Phantoms Haunt the Heights"
"640","BATTLE","Mountains: Isanya's Spine","Hag's Hunger: Crimson Snow Marks the Chosen"
"650","EXPLORATION","Mountains: Isanya's Spine","Bloodstained Shelf: Sinkhole Swallows Unwary Climbers"
"660","BATTLE","Mountains: Isanya's Spine","Aerial Executioners: Shadows Fall from Frozen Sky"
"670","EXPLORATION","Mountains: Isanya's Spine","Sewer Descent: Underground Sanctuary Awaits Discovery"
"680","EXPLORATION","Mountains: The Sanctuary of Shinra","Shadowed Courtyard: Redcap Patrol Stalks the Grounds"
"690","EXPLORATION","Mountains: The Sanctuary of Shinra - Shrine of History","Celestial Codex: Sacred Tablets Reveal Flame Ritual"
"700","EXPLORATION","Mountains: The Sanctuary of Shinra","Shinra's Courtyard: Corpse-Fed Drakes Prowl for Prey"
"710","BATTLE","Mountains: The Sanctuary of Shinra","Redcap's Revenge: Skybreaker Boots Slam Stone Giant"
"720","EXPLORATION","Mountains: The Sanctuary of Shinra","Frozen Shrine: Hag's Storm Chills Heroes to Bone"
"730","EXPLORATION","Mountains: The Sanctuary of Shinra - The Inner Sanctum","Doll's Grasp: Captive Memories Tempt Tortured Soul"
"740","BATTLE","Mountains: The Sanctuary of Shinra - The Inner Sanctum","Mother Snæbjörg's Wrath: Frozen Choir Silences Heroes"
"750","NPC ENCOUNTER","Mountains: The Sanctuary of Shinra - The Ritual of the First Light","Shrina's Judgment: Frozen Friend Returns to Light"
"760","EXPLORATION","Mountains: The Sanctuary of Shinra - The Inner Sanctum","Chilling Discoveries: Treasures of the Trapped"
"770","EXPLORATION","Mountains: The Sanctuary of Shinra - The Catacombs","Subterranean Descent: Frozen Chambers Reveal Ritual"
"780","EXPLORATION","Mountains: The Sanctuary of Shinra - The Ice Chamber","Cauldron's Memory: Doll Visions Guide Icy Descent"
"790","BATTLE","Mountains: The Sanctuary of Shinra - The Ice Chamber","Flesh Golem Awakening: Ominous Creation Stirs to Life"
"800","EXPLORATION","Mountains: The Sanctuary of Shinra - The Ice Chamber","Kly's Reconnaissance: Familiar Scouts the Frozen Depths"
"810","BATTLE","Mountains: The Sanctuary of Shinra - The Crystal Corridor","Spectral Gauntlet: Frozen Statues Awaken in Crystal Tomb"
"820","EXPLORATION","Mountains: The Sanctuary of Shinra - Hag Lair","Crystal Maze: Fractured Passages Conceal Elusive Treasures"
